Store_ID,Region_Name,Monthly_Sales_USD,Operating_Cost_USD,Customer_Footfall_Count,Customer_Satisfaction_Score
STR-1000,East,142000.0,98000.0,12400,4.2
STR-1001,West,185000.0,122000.0,15800,4.6
STR-1002,North,98000.0,71000.0,8200,3.8
STR-1003,South,115000.0,84000.0,9900,4.1
STR-1004,East,210000.0,135000.0,18200,4.8
STR-1005,West,175000.0,118000.0,14900,4.5
STR-1006,North,89000.0,68000.0,7500,3.9
STR-1007,South,130000.0,92000.0,11200,4.3
STR-1008,East,195000.0,128000.0,16500,4.7
STR-1009,West,160000.0,110000.0,13800,4.4
STR-1010,North,105000.0,79000.0,9100,4.0
STR-1011,South,225000.0,142000.0,19400,4.9
