Property_ID,Square_Feet_Units,Bedrooms_Count,Distance_To_CBD_Miles,Local_Tax_Rate_Pct,Sale_Price_USD
PROP-400,1200,2,4.2,1.8,345000.0
PROP-401,1850,3,6.8,1.9,485000.0
PROP-402,2400,4,12.4,2.1,590000.0
PROP-403,950,1,2.1,1.7,310000.0
PROP-404,3100,5,15.8,2.2,725000.0
PROP-405,1550,3,5.5,1.8,440000.0
PROP-406,2100,3,8.2,2.0,530000.0
PROP-407,2800,4,14.1,2.1,660000.0
PROP-408,1350,2,3.8,1.7,380000.0
PROP-409,1700,3,7.1,1.9,465000.0
PROP-410,2600,4,11.5,2.1,630000.0
PROP-411,1100,2,2.8,1.8,330000.0
PROP-412,3400,5,16.5,2.2,780000.0
PROP-413,1950,3,6.2,1.9,510000.0
