Transaction_ID,Transaction_Amount_USD,Foreign_IP_Flag,Failed_Login_Attempts_Count,Cardholder_Risk_Score,Actual_Fraud_Binary
F-TXN-8000,45.2,0,0,12,0
F-TXN-8001,1280.0,1,3,78,1
F-TXN-8002,18.5,0,0,15,0
F-TXN-8003,3450.0,1,4,88,1
F-TXN-8004,62.0,0,0,19,0
F-TXN-8005,2100.0,1,2,74,1
F-TXN-8006,89.4,0,0,22,0
F-TXN-8007,4200.0,1,5,92,1
F-TXN-8008,31.0,0,0,14,0
F-TXN-8009,1850.0,1,2,71,0
F-TXN-8010,74.5,0,0,18,0
F-TXN-8011,2900.0,1,4,85,1
F-TXN-8012,55.0,0,0,16,0
F-TXN-8013,3800.0,1,3,89,1
F-TXN-8014,42.0,0,0,13,0
F-TXN-8015,1950.0,1,2,76,1
