Quarter_Code,Market_Segment,Gross_Merchandise_Value_USD_M,Platform_Take_Rate_Pct,Operating_Cash_Flow_USD_M
2024-Q1,North_America,145.2,12.5,18.2
2024-Q2,Europe,98.4,11.8,11.6
2024-Q3,Asia_Pacific,112.6,10.5,11.8
2024-Q4,North_America,160.8,13.0,20.9
2024-Q1,Europe,152.0,12.8,19.5
2024-Q2,Asia_Pacific,104.2,12.0,12.5
2024-Q3,North_America,121.5,10.8,13.1
2024-Q4,Europe,175.4,13.2,23.2
2024-Q1,Asia_Pacific,158.9,13.0,20.7
2024-Q2,North_America,109.8,12.2,13.4
2024-Q3,Europe,128.4,11.0,14.1
2024-Q4,Asia_Pacific,188.2,13.5,25.4
